Title,Author,Length
Vision in Silver,Anne Bishop,16 hrs and 4 mins
Vision in Silver,Anne Bishop,16 hrs and 4 mins
The Struggle,Jennifer L. Armentrout,10 hrs and 58 mins
Together by Christmas,Karen Swan,11 hrs and 58 mins
Fight for Me: The Complete Collection,A.L. Jackson,32 hrs and 5 mins
The Inheritance,Mika Lane,4 hrs and 37 mins
A Hero in Hiding,Alice Winters,9 hrs and 28 mins
Kiss Her Once for Me,Alison Cochrun,10 hrs and 38 mins
The Husband's Secret,Liane Moriarty,13 hrs and 48 mins
Somewhere Safe with Somebody Good,Jan Karon,17 hrs and 23 mins
